epoch,lr-AdamW,step,test_aupr,test_auroc,test_loss,train_loss_epoch,train_loss_step,val_loss
,0.001,0,,,,,,
0,,9,,,,,0.9329913854598999,
0,,19,,,,,0.943925678730011,
0,,29,,,,,0.8896044492721558,
0,,39,,,,,0.8861223459243774,
0,,49,,,,,0.8704301118850708,
0,,59,,,,,0.9597632884979248,
0,,69,,,,,0.8738613724708557,
0,,79,,,,,0.9750136733055115,
0,,89,,,,,0.8510236144065857,
0,,99,,,,,0.9031113386154175,
0,,109,,,,,0.8734729290008545,
0,,119,,,,,0.8774871826171875,
0,,129,,,,,0.8942559957504272,
0,,139,,,,,0.8554307222366333,
0,,149,,,,,0.8312037587165833,
0,,159,,,,,0.9120041728019714,
0,,169,,,,,0.8003800511360168,
0,,179,,,,,0.7995185256004333,
0,,189,,,,,0.7472427487373352,
0,,199,,,,,0.7373812794685364,
0,,209,,,,,0.7449098229408264,
0,,219,,,,,0.8419520854949951,
0,,229,,,,,0.7477246522903442,
0,,239,,,,,0.6971118450164795,
0,,249,,,,,0.7889252305030823,
0,,259,,,,,0.7786265015602112,
0,,269,,,,,0.8432827591896057,
0,,279,,,,,0.8597825765609741,
0,,289,,,,,0.8112064599990845,
0,,299,,,,,0.7634186744689941,
0,,306,,,,,,0.9827646017074585
0,,306,,,,0.8624541163444519,,
,0.0009972883382072953,307,,,,,,
1,,309,,,,,0.7852839231491089,
1,,319,,,,,0.7709690928459167,
1,,329,,,,,0.7882342338562012,
1,,339,,,,,0.798382580280304,
1,,349,,,,,0.7922163009643555,
1,,359,,,,,0.7444348335266113,
1,,369,,,,,0.7942715883255005,
1,,379,,,,,0.7815848588943481,
1,,389,,,,,0.8450542688369751,
1,,399,,,,,0.8084641098976135,
1,,409,,,,,0.8596356511116028,
1,,419,,,,,0.8464171290397644,
1,,429,,,,,0.8864623308181763,
1,,439,,,,,0.8424928188323975,
1,,449,,,,,0.7836031317710876,
1,,459,,,,,0.7564350366592407,
1,,469,,,,,0.7933789491653442,
1,,479,,,,,0.8455787301063538,
1,,489,,,,,0.8533337712287903,
1,,499,,,,,0.8101889491081238,
1,,509,,,,,0.7741180658340454,
1,,519,,,,,0.8041960597038269,
1,,529,,,,,0.7963343858718872,
1,,539,,,,,0.6846027374267578,
1,,549,,,,,0.7440619468688965,
1,,559,,,,,0.7502398490905762,
1,,569,,,,,0.8380404710769653,
1,,579,,,,,0.8178799152374268,
1,,589,,,,,0.8607712984085083,
1,,599,,,,,0.7991544008255005,
1,,609,,,,,0.8662647604942322,
1,,613,,,,,,0.9322547912597656
1,,613,,,,0.7988194823265076,,
,0.0009891830623632338,614,,,,,,
2,,619,,,,,0.8105994462966919,
2,,629,,,,,0.7524201273918152,
2,,639,,,,,0.7469826340675354,
2,,649,,,,,0.8119720220565796,
2,,659,,,,,0.7287610173225403,
2,,669,,,,,0.7344270944595337,
2,,679,,,,,0.9066222906112671,
2,,689,,,,,0.8473895192146301,
2,,699,,,,,0.7103798985481262,
2,,709,,,,,0.736139178276062,
2,,719,,,,,0.7909361720085144,
2,,729,,,,,0.7922302484512329,
2,,739,,,,,0.8632108569145203,
2,,749,,,,,0.7553843855857849,
2,,759,,,,,0.850949227809906,
2,,769,,,,,0.7249013185501099,
2,,779,,,,,0.8254871964454651,
2,,789,,,,,0.7196379899978638,
2,,799,,,,,0.7880531549453735,
2,,809,,,,,0.7476348876953125,
2,,819,,,,,0.7673473954200745,
2,,829,,,,,0.7810266613960266,
2,,839,,,,,0.8307321071624756,
2,,849,,,,,0.7266985177993774,
2,,859,,,,,0.6731787323951721,
2,,869,,,,,0.8162761330604553,
2,,879,,,,,0.8289990425109863,
2,,889,,,,,0.6526651978492737,
2,,899,,,,,0.7516608834266663,
2,,909,,,,,0.7718018293380737,
2,,919,,,,,0.7890406847000122,
2,,920,,,,,,0.9288771152496338
2,,920,,,,0.7818845510482788,,
,0.0009757729755661011,921,,,,,,
3,,929,,,,,0.7605118155479431,
3,,939,,,,,0.7246893048286438,
3,,949,,,,,0.785782516002655,
3,,959,,,,,0.7507370710372925,
3,,969,,,,,0.8221135139465332,
3,,979,,,,,0.7280617952346802,
3,,989,,,,,0.7262606024742126,
3,,999,,,,,0.7580618262290955,
3,,1009,,,,,0.7792371511459351,
3,,1019,,,,,0.7503506541252136,
3,,1029,,,,,0.7421486377716064,
3,,1039,,,,,0.7007816433906555,
3,,1049,,,,,0.8054265975952148,
3,,1059,,,,,0.7518420219421387,
3,,1069,,,,,0.7190115451812744,
3,,1079,,,,,0.7835022211074829,
3,,1089,,,,,0.7657421231269836,
3,,1099,,,,,0.7632696628570557,
3,,1109,,,,,0.8101982474327087,
3,,1119,,,,,0.7350616455078125,
3,,1129,,,,,0.7377049922943115,
3,,1139,,,,,0.7797656655311584,
3,,1149,,,,,0.7473350167274475,
3,,1159,,,,,0.7774809002876282,
3,,1169,,,,,0.7328906059265137,
3,,1179,,,,,0.7474700808525085,
3,,1189,,,,,0.852838933467865,
3,,1199,,,,,0.7348709106445312,
3,,1209,,,,,0.8126415014266968,
3,,1219,,,,,0.826410710811615,
3,,1227,,,,,,0.944514274597168
3,,1227,,,,0.7674444317817688,,
,0.0009572050015330874,1228,,,,,,
4,,1229,,,,,0.748542845249176,
4,,1239,,,,,0.7863525152206421,
4,,1249,,,,,0.7001290917396545,
4,,1259,,,,,0.8158014416694641,
4,,1269,,,,,0.7208324670791626,
4,,1279,,,,,0.7227266430854797,
4,,1289,,,,,0.729527473449707,
4,,1299,,,,,0.7186286449432373,
4,,1309,,,,,0.6354942917823792,
4,,1319,,,,,0.8016641736030579,
4,,1329,,,,,0.7610466480255127,
4,,1339,,,,,0.7757841944694519,
4,,1349,,,,,0.798118531703949,
4,,1359,,,,,0.756070077419281,
4,,1369,,,,,0.769665002822876,
4,,1379,,,,,0.7445650100708008,
4,,1389,,,,,0.7092390060424805,
4,,1399,,,,,0.7516542077064514,
4,,1409,,,,,0.7677327990531921,
4,,1419,,,,,0.7540990114212036,
4,,1429,,,,,0.7530795931816101,
4,,1439,,,,,0.7634238004684448,
4,,1449,,,,,0.7677149772644043,
4,,1459,,,,,0.8291793465614319,
4,,1469,,,,,0.7157288789749146,
4,,1479,,,,,0.7811663746833801,
4,,1489,,,,,0.6918139457702637,
4,,1499,,,,,0.7462948560714722,
4,,1509,,,,,0.8019639849662781,
4,,1519,,,,,0.7893926501274109,
4,,1529,,,,,0.7527962327003479,
4,,1534,,,,,,0.992546558380127
4,,1534,,,,0.7550610899925232,,
,0.0009336825748732973,1535,,,,,,
5,,1539,,,,,0.8485823273658752,
5,,1549,,,,,0.8001247644424438,
5,,1559,,,,,0.7374796271324158,
5,,1569,,,,,0.6817914843559265,
5,,1579,,,,,0.6848883032798767,
5,,1589,,,,,0.6824774146080017,
5,,1599,,,,,0.6992037892341614,
5,,1609,,,,,0.706369161605835,
5,,1619,,,,,0.7491308450698853,
5,,1629,,,,,0.8326786160469055,
5,,1639,,,,,0.774972677230835,
5,,1649,,,,,0.7160034775733948,
5,,1659,,,,,0.7907190322875977,
5,,1669,,,,,0.7525085210800171,
5,,1679,,,,,0.7202673554420471,
5,,1689,,,,,0.7047735452651978,
5,,1699,,,,,0.7707303762435913,
5,,1709,,,,,0.719841480255127,
5,,1719,,,,,0.7674944400787354,
5,,1729,,,,,0.7418020367622375,
5,,1739,,,,,0.7672872543334961,
5,,1749,,,,,0.7180989384651184,
5,,1759,,,,,0.7751370668411255,
5,,1769,,,,,0.773247480392456,
5,,1779,,,,,0.7207144498825073,
5,,1789,,,,,0.7794500589370728,
5,,1799,,,,,0.6996922492980957,
5,,1809,,,,,0.7392914891242981,
5,,1819,,,,,0.7142819762229919,
5,,1829,,,,,0.7246260643005371,
5,,1839,,,,,0.7927941083908081,
5,,1841,,,,,,1.008703351020813
5,,1841,,,,0.7422259449958801,,
,0.0009054634122155991,1842,,,,,,
6,,1849,,,,,0.6941548585891724,
6,,1859,,,,,0.7753621339797974,
6,,1869,,,,,0.7148276567459106,
6,,1879,,,,,0.7110505104064941,
6,,1889,,,,,0.7641574144363403,
6,,1899,,,,,0.7162147164344788,
6,,1909,,,,,0.6796296834945679,
6,,1919,,,,,0.7588739395141602,
6,,1929,,,,,0.6851798295974731,
6,,1939,,,,,0.8087454438209534,
6,,1949,,,,,0.673314094543457,
6,,1959,,,,,0.7256189584732056,
6,,1969,,,,,0.8067703247070312,
6,,1979,,,,,0.7764669060707092,
6,,1989,,,,,0.7023324370384216,
6,,1999,,,,,0.7332584857940674,
6,,2009,,,,,0.7300477623939514,
6,,2019,,,,,0.7866852283477783,
6,,2029,,,,,0.819947361946106,
6,,2039,,,,,0.7965001463890076,
6,,2049,,,,,0.7779170274734497,
6,,2059,,,,,0.7543392181396484,
6,,2069,,,,,0.7022689580917358,
6,,2079,,,,,0.6998079419136047,
6,,2089,,,,,0.7389127612113953,
6,,2099,,,,,0.6996138691902161,
6,,2109,,,,,0.7597941160202026,
6,,2119,,,,,0.7623094916343689,
6,,2129,,,,,0.8029143810272217,
6,,2139,,,,,0.7020114064216614,
6,,2148,,,,,,0.9955995678901672
6,,2148,,,,0.7339409589767456,,
,0.0008728566886113102,2149,,,,,,
7,,2149,,,,,0.7901197671890259,
7,,2159,,,,,0.6516278386116028,
7,,2169,,,,,0.7669281959533691,
7,,2179,,,,,0.7762654423713684,
7,,2189,,,,,0.7628294825553894,
7,,2199,,,,,0.6479718089103699,
7,,2209,,,,,0.7594509720802307,
7,,2219,,,,,0.7590488195419312,
7,,2229,,,,,0.7171624898910522,
7,,2239,,,,,0.7173193097114563,
7,,2249,,,,,0.7289273142814636,
7,,2259,,,,,0.7284991145133972,
7,,2269,,,,,0.6488609910011292,
7,,2279,,,,,0.6754485964775085,
7,,2289,,,,,0.7762455940246582,
7,,2299,,,,,0.6744282841682434,
7,,2309,,,,,0.7359747886657715,
7,,2319,,,,,0.7205987572669983,
7,,2329,,,,,0.7680751085281372,
7,,2339,,,,,0.7076324820518494,
7,,2349,,,,,0.7549271583557129,
7,,2359,,,,,0.7335372567176819,
7,,2369,,,,,0.6331529021263123,
