epoch,step,train_loss_epoch,train_loss_step,val_loss
0,19,,1.0239384174346924,
0,39,,0.8771323561668396,
0,59,,0.9630318880081177,
0,79,,0.8060280680656433,
0,99,,1.013755440711975,
0,119,,0.897264301776886,
0,139,,0.8790062665939331,
0,159,,0.9150306582450867,
0,179,,0.9366881847381592,
0,199,,0.9162259101867676,
0,219,,0.9064410328865051,
0,239,,0.854292631149292,
0,259,,0.8323205709457397,
0,279,,0.8648195862770081,
0,299,,0.7949508428573608,
0,319,,0.8553897142410278,
0,339,,0.8608209490776062,
0,359,,0.8668971061706543,
0,379,,0.8243009448051453,
0,399,,0.8547301888465881,
0,401,,,0.8822401165962219
0,401,0.8923735618591309,,
1,419,,0.8141903877258301,
1,439,,0.8429392576217651,
1,459,,0.7767266631126404,
1,479,,0.8295935988426208,
1,499,,0.8422788381576538,
1,519,,0.8402590751647949,
1,539,,0.8916311264038086,
1,559,,0.7788650393486023,
1,579,,0.8569092154502869,
1,599,,0.8145954012870789,
1,619,,0.8185840249061584,
1,639,,0.8052770495414734,
1,659,,0.8067257404327393,
1,679,,0.7751153707504272,
1,699,,0.849539041519165,
1,719,,0.7916147708892822,
1,739,,0.8270429968833923,
1,759,,0.8302723169326782,
1,779,,0.8130673170089722,
1,799,,0.9243756532669067,
1,803,,,0.8685357570648193
1,803,0.8213826417922974,,
2,819,,0.841795027256012,
2,839,,0.8234982490539551,
2,859,,0.7836109399795532,
2,879,,0.713272750377655,
2,899,,0.8003042936325073,
2,919,,0.9457232356071472,
2,939,,0.8736144304275513,
2,959,,0.8799335956573486,
2,979,,0.7733930349349976,
2,999,,0.7752923965454102,
2,1019,,0.8592289686203003,
2,1039,,0.840607225894928,
2,1059,,0.7310852408409119,
2,1079,,0.7803313136100769,
2,1099,,0.7905200719833374,
2,1119,,0.774478554725647,
2,1139,,0.8665749430656433,
2,1159,,0.7948011755943298,
2,1179,,0.7507811784744263,
2,1199,,0.7976455092430115,
2,1205,,,0.8632425665855408
2,1205,0.8023946285247803,,
3,1219,,0.7823179960250854,
3,1239,,0.8845070004463196,
3,1259,,0.7761644124984741,
3,1279,,0.6991477012634277,
3,1299,,0.800191342830658,
3,1319,,0.7657190561294556,
3,1339,,0.790975034236908,
3,1359,,0.8295834064483643,
3,1379,,0.7441094517707825,
3,1399,,0.7538503408432007,
3,1419,,0.7692722082138062,
3,1439,,0.696234941482544,
3,1459,,0.7253990769386292,
3,1479,,0.8120487332344055,
3,1499,,0.7521536350250244,
3,1519,,0.8046537041664124,
3,1539,,0.7466981410980225,
3,1559,,0.7522847056388855,
3,1579,,0.7867894172668457,
3,1599,,0.840697705745697,
3,1607,,,0.892760157585144
3,1607,0.7864066362380981,,
4,1619,,0.784690797328949,
4,1639,,0.7501564621925354,
4,1659,,0.8176471590995789,
4,1679,,0.7889812588691711,
4,1699,,0.6918708086013794,
4,1719,,0.8049709796905518,
4,1739,,0.7531554102897644,
4,1759,,0.7411535978317261,
4,1779,,0.7980321049690247,
4,1799,,0.7043115496635437,
4,1819,,0.7529590725898743,
4,1839,,0.811124861240387,
4,1859,,0.7731591463088989,
4,1879,,0.7437722682952881,
4,1899,,0.7794268131256104,
4,1919,,0.7582030892372131,
4,1939,,0.7449985146522522,
4,1959,,0.7859717607498169,
4,1979,,0.7302818298339844,
4,1999,,0.8104379177093506,
4,2009,,,0.8872429728507996
4,2009,0.774353563785553,,
5,2019,,0.7016226649284363,
5,2039,,0.7694797515869141,
5,2059,,0.7283488512039185,
5,2079,,0.7868123650550842,
5,2099,,0.8360734581947327,
5,2119,,0.7694718241691589,
5,2139,,0.6953343152999878,
5,2159,,0.8861789703369141,
5,2179,,0.7898443341255188,
5,2199,,0.7730040550231934,
5,2219,,0.7505059242248535,
5,2239,,0.7578924894332886,
5,2259,,0.7969252467155457,
5,2279,,0.7596148252487183,
5,2299,,0.7525142431259155,
5,2319,,0.733463704586029,
5,2339,,0.8203966617584229,
5,2359,,0.7067117691040039,
5,2379,,0.762958824634552,
5,2399,,0.7758651375770569,
5,2411,,,0.8761127591133118
5,2411,0.7633355855941772,,
6,2419,,0.7493513226509094,
6,2439,,0.7642056941986084,
6,2459,,0.7514282464981079,
6,2479,,0.7057977914810181,
6,2499,,0.7381472587585449,
6,2519,,0.757185161113739,
6,2539,,0.7681308388710022,
6,2559,,0.7705183029174805,
6,2579,,0.7849120497703552,
6,2599,,0.7258048057556152,
6,2619,,0.6962862014770508,
6,2639,,0.7068582773208618,
6,2659,,0.7693987488746643,
6,2679,,0.7836886048316956,
6,2699,,0.7285899519920349,
6,2719,,0.7393577098846436,
6,2739,,0.785841166973114,
6,2759,,0.714036762714386,
6,2779,,0.7946481108665466,
6,2799,,0.7723783254623413,
6,2813,,,0.9165883660316467
6,2813,0.7556747794151306,,
7,2819,,0.6977840065956116,
7,2839,,0.8027145266532898,
7,2859,,0.7507509589195251,
7,2879,,0.7310420870780945,
7,2899,,0.7226959466934204,
7,2919,,0.724328339099884,
7,2939,,0.7810792326927185,
7,2959,,0.7929986119270325,
7,2979,,0.7908181548118591,
7,2999,,0.7287018299102783,
7,3019,,0.8219680786132812,
7,3039,,0.7915576100349426,
7,3059,,0.7963817715644836,
7,3079,,0.7321112751960754,
7,3099,,0.7175961136817932,
7,3119,,0.7620030045509338,
7,3139,,0.7748689651489258,
7,3159,,0.7675342559814453,
7,3179,,0.775580108165741,
7,3199,,0.6850968599319458,
7,3215,,,0.8993833661079407
7,3215,0.7485824227333069,,
