epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_loss
,0.001,0,,,
0,,9,,0.9313015937805176,
0,,19,,0.9513679146766663,
0,,29,,0.8710036277770996,
0,,39,,0.9321240186691284,
0,,49,,0.925421416759491,
0,,59,,0.8848627805709839,
0,,69,,0.9107458591461182,
0,,79,,0.8645510673522949,
0,,89,,0.8738951086997986,
0,,99,,0.8300941586494446,
0,,109,,0.8642376065254211,
0,,119,,0.9021908640861511,
0,,129,,0.9267420768737793,
0,,139,,0.8357428312301636,
0,,149,,0.8545317649841309,
0,,159,,0.7845875024795532,
0,,169,,0.8806428909301758,
0,,179,,0.8216584920883179,
0,,189,,0.814009428024292,
0,,199,,0.9093214869499207,
0,,209,,0.8063905239105225,
0,,219,,0.7699018716812134,
0,,229,,0.8149588704109192,
0,,239,,0.8872326612472534,
0,,249,,0.8944661617279053,
0,,259,,0.8296067714691162,
0,,269,,0.7673693299293518,
0,,279,,0.8103132843971252,
0,,289,,0.7965498566627502,
0,,299,,0.816047191619873,
0,,306,,,0.9570065140724182
0,,306,0.8635053038597107,,
,0.0009972883382072953,307,,,
1,,309,,0.8074134588241577,
1,,319,,0.7957256436347961,
1,,329,,0.8136065602302551,
1,,339,,0.7591273188591003,
1,,349,,0.8064849972724915,
1,,359,,0.8540467023849487,
1,,369,,0.7881913781166077,
1,,379,,0.8102384805679321,
1,,389,,0.8007556200027466,
1,,399,,0.8411672711372375,
1,,409,,0.8163584470748901,
1,,419,,0.7889854907989502,
1,,429,,0.7821069359779358,
1,,439,,0.8075273036956787,
1,,449,,0.7920973896980286,
1,,459,,0.8468121886253357,
1,,469,,0.7005988955497742,
1,,479,,0.7827616333961487,
1,,489,,0.7592872977256775,
1,,499,,0.8015687465667725,
1,,509,,0.7783962488174438,
1,,519,,0.8576314449310303,
1,,529,,0.8071262240409851,
1,,539,,0.817068874835968,
1,,549,,0.8335848450660706,
1,,559,,0.9339668154716492,
1,,569,,0.7817124724388123,
1,,579,,0.8491635918617249,
1,,589,,0.7639273405075073,
1,,599,,0.8200485110282898,
1,,609,,0.7943973541259766,
1,,613,,,1.0202082395553589
1,,613,0.7952137589454651,,
